id,date,value,factor,pct_change,method,return
1143,1966-03-01,724.28,1.0242171535870106,2.42171535870106,Buy the Dip,60845.540404586536
1144,1966-04-01,741.82,0.9473861583672588,-5.261384163274119,No Compounding,22787.738265347387
1144,1966-04-01,741.82,0.9473861583672588,-5.261384163274119,Compounding,50316.229933960974
1144,1966-04-01,741.82,0.9473861583672588,-5.261384163274119,Buy the Dip,60725.199299517226
1145,1966-05-01,702.79,0.988645256762333,-1.1354743237667053,No Compounding,23711.065894506188
1145,1966-05-01,702.79,0.988645256762333,-1.1354743237667053,Compounding,52354.97396165507
1145,1966-05-01,702.79,0.988645256762333,-1.1354743237667053,Buy the Dip,59861.2579332733
1146,1966-06-01,694.81,0.9943725622832141,-0.5627437716785866,No Compounding,23252.543860911614
1146,1966-06-01,694.81,0.9943725622832141,-0.5627437716785866,Compounding,51342.539124836905
1146,1966-06-01,694.81,0.9943725622832141,-0.5627437716785866,Buy the Dip,58037.102316729965
1147,1966-07-01,690.9,0.9337964973223332,-6.620350267766684,No Compounding,23446.663771891737
1147,1966-07-01,690.9,0.9337964973223332,-6.620350267766684,Compounding,51771.16358777841
1147,1966-07-01,690.9,0.9337964973223332,-6.620350267766684,Buy the Dip,58192.2884581925
1148,1966-08-01,645.16,0.9647839295678593,-3.52160704321407,No Compounding,25594.891189782382
1148,1966-08-01,645.16,0.9647839295678593,-3.52160704321407,Compounding,56514.53493294587
1148,1966-08-01,645.16,0.9647839295678593,-3.52160704321407,Buy the Dip,59318.46566533376
1149,1966-09-01,622.44,0.9852355247092088,-1.4764475290791168,No Compounding,27293.39374076216
1149,1966-09-01,622.44,0.9852355247092088,-1.4764475290791168,Compounding,60264.89593426023
1149,1966-09-01,622.44,0.9852355247092088,-1.4764475290791168,Buy the Dip,61027.30935731812
1150,1966-10-01,613.25,1.0500448430493274,5.004484304932744,No Compounding,28818.10028536486
1150,1966-10-01,613.25,1.0500448430493274,5.004484304932744,Compounding,63631.50846011614
1150,1966-10-01,613.25,1.0500448430493274,5.004484304932744,Buy the Dip,63485.14171816675
